AP1,angle_AP1,location_AP1,AP2,angle_AP2,location_AP2,AP3 ,angle_AP3,location_AP3,,cordinates of targeted  node 
41,32.43,"(9.6,7.5)",-50,46.48,"(0,0)",-42,55.7,"(0,7.5)",,"(3,3.2)"
-36,32.43,"(9.6,7.5)",-46,46.48,"(0,0)",-39,55.7,"(0,7.5)",,"(3,3.2)"
-36,32.43,"(9.6,7.5)",-50,46.48,"(0,0)",-40,55.7,"(0,7.5)",,"(3,3.2)"
-36,32.43,"(9.6,7.5)",-46,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-37,32.43,"(9.6,7.5)",-47,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-35,32.43,"(9.6,7.5)",-50,46.48,"(0,0)",-42,55.7,"(0,7.5)",,"(3,3.2)"
-35,32.43,"(9.6,7.5)",-49,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-48,46.48,"(0,0)",-42,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-49,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-49,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-37,32.43,"(9.6,7.5)",-46,46.48,"(0,0)",-39,55.7,"(0,7.5)",,"(3,3.2)"
-37,32.43,"(9.6,7.5)",-49,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-37,32.43,"(9.6,7.5)",-47,46.48,"(0,0)",-42,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-48,46.48,"(0,0)",-40,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-47,46.48,"(0,0)",-42,55.7,"(0,7.5)",,"(3,3.2)"
-36,32.43,"(9.6,7.5)",-47,46.48,"(0,0)",-40,55.7,"(0,7.5)",,"(3,3.2)"
-36,32.43,"(9.6,7.5)",-48,46.48,"(0,0)",-40,55.7,"(0,7.5)",,"(3,3.2)"
-37,32.43,"(9.6,7.5)",-49,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-37,32.43,"(9.6,7.5)",-47,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-36,32.43,"(9.6,7.5)",-47,46.48,"(0,0)",-40,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-49,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-48,46.48,"(0,0)",-40,55.7,"(0,7.5)",,"(3,3.2)"
-37,32.43,"(9.6,7.5)",-47,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-36,32.43,"(9.6,7.5)",-46,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-37,32.43,"(9.6,7.5)",-47,46.48,"(0,0)",-40,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-46,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-46,46.48,"(0,0)",-42,55.7,"(0,7.5)",,"(3,3.2)"
-37,32.43,"(9.6,7.5)",-46,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-36,32.43,"(9.6,7.5)",-47,46.48,"(0,0)",-42,55.7,"(0,7.5)",,"(3,3.2)"
-37,32.43,"(9.6,7.5)",-46,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-36,32.43,"(9.6,7.5)",-48,46.48,"(0,0)",-40,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-46,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-47,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-48,46.48,"(0,0)",-42,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-47,46.48,"(0,0)",-42,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-49,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-37,32.43,"(9.6,7.5)",-47,46.48,"(0,0)",-40,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-44,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-47,46.48,"(0,0)",-40,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-46,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-37,32.43,"(9.6,7.5)",-47,46.48,"(0,0)",-42,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-44,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-47,46.48,"(0,0)",-42,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-46,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-47,46.48,"(0,0)",-42,55.7,"(0,7.5)",,"(3,3.2)"
-36,32.43,"(9.6,7.5)",-46,46.48,"(0,0)",-40,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-47,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-48,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-46,46.48,"(0,0)",-41,55.7,"(0,7.5)",,"(3,3.2)"
-38,32.43,"(9.6,7.5)",-47,46.48,"(0,0)",-42,55.7,"(0,7.5)",,"(3,3.2)"
