AP1,angle_AP1,location_AP1,AP2,angle_AP2,location_AP2,AP3 ,angle_AP3,location_AP3,,cordinates of targeted  node 
-32,75.96,"(9.6,7.5)",-51,35.41,"(0,0)",-52,7.59,"(0,7.5)",,"(9,6.4)"
-33,75.96,"(9.6,7.5)",-59,35.41,"(0,0)",-53,7.59,"(0,7.5)",,"(9,6.4)"
-32,75.96,"(9.6,7.5)",-49,35.41,"(0,0)",-51,7.59,"(0,7.5)",,"(9,6.4)"
-30,75.96,"(9.6,7.5)",-48,35.41,"(0,0)",-51,7.59,"(0,7.5)",,"(9,6.4)"
-25,75.96,"(9.6,7.5)",-47,35.41,"(0,0)",-48,7.59,"(0,7.5)",,"(9,6.4)"
-24,75.96,"(9.6,7.5)",-45,35.41,"(0,0)",-49,7.59,"(0,7.5)",,"(9,6.4)"
-26,75.96,"(9.6,7.5)",-47,35.41,"(0,0)",-49,7.59,"(0,7.5)",,"(9,6.4)"
-25,75.96,"(9.6,7.5)",-46,35.41,"(0,0)",-51,7.59,"(0,7.5)",,"(9,6.4)"
-24,75.96,"(9.6,7.5)",-47,35.41,"(0,0)",-49,7.59,"(0,7.5)",,"(9,6.4)"
-27,75.96,"(9.6,7.5)",-48,35.41,"(0,0)",-49,7.59,"(0,7.5)",,"(9,6.4)"
-25,75.96,"(9.6,7.5)",-48,35.41,"(0,0)",-49,7.59,"(0,7.5)",,"(9,6.4)"
-25,75.96,"(9.6,7.5)",-47,35.41,"(0,0)",-50,7.59,"(0,7.5)",,"(9,6.4)"
-24,75.96,"(9.6,7.5)",-47,35.41,"(0,0)",-49,7.59,"(0,7.5)",,"(9,6.4)"
-27,75.96,"(9.6,7.5)",-47,35.41,"(0,0)",-49,7.59,"(0,7.5)",,"(9,6.4)"
-26,75.96,"(9.6,7.5)",-47,35.41,"(0,0)",-49,7.59,"(0,7.5)",,"(9,6.4)"
-24,75.96,"(9.6,7.5)",-47,35.41,"(0,0)",-49,7.59,"(0,7.5)",,"(9,6.4)"
-25,75.96,"(9.6,7.5)",-47,35.41,"(0,0)",-51,7.59,"(0,7.5)",,"(9,6.4)"
-23,75.96,"(9.6,7.5)",-48,35.41,"(0,0)",-50,7.59,"(0,7.5)",,"(9,6.4)"
-26,75.96,"(9.6,7.5)",-47,35.41,"(0,0)",-49,7.59,"(0,7.5)",,"(9,6.4)"
-26,75.96,"(9.6,7.5)",-48,35.41,"(0,0)",-49,7.59,"(0,7.5)",,"(9,6.4)"
-25,75.96,"(9.6,7.5)",-47,35.41,"(0,0)",-49,7.59,"(0,7.5)",,"(9,6.4)"
-25,75.96,"(9.6,7.5)",-49,35.41,"(0,0)",-49,7.59,"(0,7.5)",,"(9,6.4)"
-24,75.96,"(9.6,7.5)",-47,35.41,"(0,0)",-46,7.59,"(0,7.5)",,"(9,6.4)"
