AP1,angle_AP1,location_AP1,AP2,angle_AP2,location_AP2,AP3 ,angle_AP3,location_AP3,,cordinates of targeted  node 
-25,75.96,"(9.6,7.5)",-51,35.41,"(0,0)",-46,7.59,"(0,7.5)",,"(9,6.4)"
-36,75.96,"(9.6,7.5)",-52,35.41,"(0,0)",-51,7.59,"(0,7.5)",,"(9,6.4)"
-32,75.96,"(9.6,7.5)",-51,35.41,"(0,0)",-50,7.59,"(0,7.5)",,"(9,6.4)"
-33,75.96,"(9.6,7.5)",-55,35.41,"(0,0)",-52,7.59,"(0,7.5)",,"(9,6.4)"
-31,75.96,"(9.6,7.5)",-51,35.41,"(0,0)",-52,7.59,"(0,7.5)",,"(9,6.4)"
-31,75.96,"(9.6,7.5)",-49,35.41,"(0,0)",-52,7.59,"(0,7.5)",,"(9,6.4)"
-32,75.96,"(9.6,7.5)",-50,35.41,"(0,0)",-53,7.59,"(0,7.5)",,"(9,6.4)"
-31,75.96,"(9.6,7.5)",-49,35.41,"(0,0)",-51,7.59,"(0,7.5)",,"(9,6.4)"
-31,75.96,"(9.6,7.5)",-55,35.41,"(0,0)",-51,7.59,"(0,7.5)",,"(9,6.4)"
-32,75.96,"(9.6,7.5)",-52,35.41,"(0,0)",-54,7.59,"(0,7.5)",,"(9,6.4)"
-31,75.96,"(9.6,7.5)",-53,35.41,"(0,0)",-51,7.59,"(0,7.5)",,"(9,6.4)"
-31,75.96,"(9.6,7.5)",-50,35.41,"(0,0)",-53,7.59,"(0,7.5)",,"(9,6.4)"
-32,75.96,"(9.6,7.5)",-49,35.41,"(0,0)",-52,7.59,"(0,7.5)",,"(9,6.4)"
-32,75.96,"(9.6,7.5)",-51,35.41,"(0,0)",-53,7.59,"(0,7.5)",,"(9,6.4)"
-33,75.96,"(9.6,7.5)",-51,35.41,"(0,0)",-50,7.59,"(0,7.5)",,"(9,6.4)"
-33,75.96,"(9.6,7.5)",-55,35.41,"(0,0)",-49,7.59,"(0,7.5)",,"(9,6.4)"
-32,75.96,"(9.6,7.5)",-51,35.41,"(0,0)",-51,7.59,"(0,7.5)",,"(9,6.4)"
-33,75.96,"(9.6,7.5)",-54,35.41,"(0,0)",-52,7.59,"(0,7.5)",,"(9,6.4)"
-32,75.96,"(9.6,7.5)",-48,35.41,"(0,0)",-52,7.59,"(0,7.5)",,"(9,6.4)"
-33,75.96,"(9.6,7.5)",-53,35.41,"(0,0)",-52,7.59,"(0,7.5)",,"(9,6.4)"
-32,75.96,"(9.6,7.5)",-51,35.41,"(0,0)",-53,7.59,"(0,7.5)",,"(9,6.4)"
-33,75.96,"(9.6,7.5)",-53,35.41,"(0,0)",-51,7.59,"(0,7.5)",,"(9,6.4)"
-33,75.96,"(9.6,7.5)",-55,35.41,"(0,0)",-51,7.59,"(0,7.5)",,"(9,6.4)"
-33,75.96,"(9.6,7.5)",-55,35.41,"(0,0)",-52,7.59,"(0,7.5)",,"(9,6.4)"
-32,75.96,"(9.6,7.5)",-50,35.41,"(0,0)",-50,7.59,"(0,7.5)",,"(9,6.4)"
-32,75.96,"(9.6,7.5)",-55,35.41,"(0,0)",-52,7.59,"(0,7.5)",,"(9,6.4)"
-32,75.96,"(9.6,7.5)",-59,35.41,"(0,0)",-52,7.59,"(0,7.5)",,"(9,6.4)"
