AP1,angle_AP1,location_AP1,AP2,angle_AP2,location_AP2,AP3 ,angle_AP3,location_AP3,,cordinates of targeted  node 
-50,29.42,"(9.6,7.5)",-54,64.8,"(0,0)",-47,71.17,"(0,7.5)",,"(1.5,3.2)"
-43,29.42,"(9.6,7.5)",-45,64.8,"(0,0)",-50,71.17,"(0,7.5)",,"(1.5,3.2)"
-43,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-47,71.17,"(0,7.5)",,"(1.5,3.2)"
-41,29.42,"(9.6,7.5)",-52,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-42,29.42,"(9.6,7.5)",-49,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-42,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-42,29.42,"(9.6,7.5)",-48,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-44,29.42,"(9.6,7.5)",-48,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-41,29.42,"(9.6,7.5)",-51,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-42,29.42,"(9.6,7.5)",-51,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-42,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-47,71.17,"(0,7.5)",,"(1.5,3.2)"
-46,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-43,29.42,"(9.6,7.5)",-49,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-44,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-49,71.17,"(0,7.5)",,"(1.5,3.2)"
-44,29.42,"(9.6,7.5)",-49,64.8,"(0,0)",-50,71.17,"(0,7.5)",,"(1.5,3.2)"
-43,29.42,"(9.6,7.5)",-52,64.8,"(0,0)",-47,71.17,"(0,7.5)",,"(1.5,3.2)"
-46,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-50,71.17,"(0,7.5)",,"(1.5,3.2)"
-45,29.42,"(9.6,7.5)",-49,64.8,"(0,0)",-49,71.17,"(0,7.5)",,"(1.5,3.2)"
-43,29.42,"(9.6,7.5)",-51,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-43,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-44,29.42,"(9.6,7.5)",-49,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-42,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-43,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-49,71.17,"(0,7.5)",,"(1.5,3.2)"
-41,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-49,71.17,"(0,7.5)",,"(1.5,3.2)"
-42,29.42,"(9.6,7.5)",-49,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-43,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-47,71.17,"(0,7.5)",,"(1.5,3.2)"
-44,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-50,71.17,"(0,7.5)",,"(1.5,3.2)"
-42,29.42,"(9.6,7.5)",-51,64.8,"(0,0)",-49,71.17,"(0,7.5)",,"(1.5,3.2)"
-43,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-44,29.42,"(9.6,7.5)",-49,64.8,"(0,0)",-49,71.17,"(0,7.5)",,"(1.5,3.2)"
-43,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-46,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-47,71.17,"(0,7.5)",,"(1.5,3.2)"
-43,29.42,"(9.6,7.5)",-51,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-44,29.42,"(9.6,7.5)",-49,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-45,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-50,71.17,"(0,7.5)",,"(1.5,3.2)"
-43,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-50,71.17,"(0,7.5)",,"(1.5,3.2)"
-44,29.42,"(9.6,7.5)",-51,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-42,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-49,71.17,"(0,7.5)",,"(1.5,3.2)"
-45,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-45,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-49,71.17,"(0,7.5)",,"(1.5,3.2)"
-42,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-49,71.17,"(0,7.5)",,"(1.5,3.2)"
-43,29.42,"(9.6,7.5)",-49,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-45,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-49,71.17,"(0,7.5)",,"(1.5,3.2)"
-43,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-47,71.17,"(0,7.5)",,"(1.5,3.2)"
-45,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-48,71.17,"(0,7.5)",,"(1.5,3.2)"
-42,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-49,71.17,"(0,7.5)",,"(1.5,3.2)"
-43,29.42,"(9.6,7.5)",-50,64.8,"(0,0)",-49,71.17,"(0,7.5)",,"(1.5,3.2)"
