AP1,,AP2,,AP3 ,,location ,cordinates of targeted  node ,,,Angles 
,,,,,,,,,,
-48 dBm,,-48 dBm,,-42 dBm,,"ap2(0,0)","(9,0)",,,ap2 0*
-46 dBm,,-49 dBm,,-37 dBm,,"ap3(0,7.5)",,,,ap3 40.17*
-46 dBm,,-50 dBm,,-38 dBm,,"ap1(9.6,7.5)",,,,ap1 87.73*
-43 dBm,,-49 dBm,,-37 dBm,,,,,,
-43 dBm,,-50 dBm,,-38 dBm,,,,,,
-44 dBm,,-51 dBm,,-37 dBm,,,,,,
-44 dBm,,-47 dBm,,-38 dBm,,,,,,
-43 dBm,,-49 dBm,,-38 dBm,,,,,,
-44 dBm,,-50 dBm,,-39 dBm,,,,,,
-43 dBm,,-51 dBm,,-38 dBm,,,,,,
-44 dBm,,-48 dBm,,-38 dBm,,,,,,
-44 dBm,,-47 dBm,,-38 dBm,,,,,,
-43 dBm,,-48 dBm,,-38 dBm,,,,,,
-43 dBm,,-48 dBm,,-38 dBm,,,,,,
-44 dBm,,-48 dBm,,-38 dBm,,,,,,
-43 dBm,,-51 dBm,,-38 dBm,,,,,,
-44 dBm,,-48 dBm,,-39 dBm,,,,,,
-43 dBm,,-49 dBm,,-38 dBm,,,,,,
-44 dBm,,-50 dBm,,-38 dBm,,,,,,
-43 dBm,,-48 dBm,,-39 dBm,,,,,,
-44 dBm,,-49 dBm,,-38 dBm,,,,,,
-43 dBm,,-47 dBm,,-39 dBm,,,,,,
-44 dBm,,-48 dBm,,-38 dBm,,,,,,
-43 dBm,,-49 dBm,,-39 dBm,,,,,,
-44 dBm,,-50 dBm,,-38 dBm,,,,,,
-44 dBm,,-49 dBm,,-39 dBm,,,,,,
-44 dBm,,-50 dBm,,-39 dBm,,,,,,
-43 dBm,,-49 dBm,,-39 dBm,,,,,,
-43 dBm,,-45 dBm,,-38 dBm,,,,,,
-43 dBm,,-48 dBm,,-39 dBm,,,,,,
-44 dBm,,-49 dBm,,-38 dBm,,,,,,
-43 dBm,,-50 dBm,,-38 dBm,,,,,,
-43 dBm,,-49 dBm,,-39 dBm,,,,,,
-44 dBm,,-48 dBm,,-38 dBm,,,,,,
-43 dBm,,-49 dBm,,-39 dBm,,,,,,
-44 dBm,,-50 dBm,,-39 dBm,,,,,,
-43 dBm,,-47 dBm,,-38 dBm,,,,,,
-44 dBm,,-49 dBm,,-38 dBm,,,,,,
-43 dBm,,-48 dBm,,-38 dBm,,,,,,
-44 dBm,,-49 dBm,,-38 dBm,,,,,,
-44 dBm,,-47 dBm,,-39 dBm,,,,,,
-43 dBm,,-49 dBm,,-39 dBm,,,,,,
-44 dBm,,-47 dBm,,-39 dBm,,,,,,
-43 dBm,,-49 dBm,,-38 dBm,,,,,,
-44 dBm,,-49 dBm,,-38 dBm,,,,,,
-43 dBm,,-49 dBm,,-39 dBm,,,,,,
-44 dBm,,-49 dBm,,,,,,,,
