AP1,,AP2,,AP3 ,,location ,cordinates of targeted  node ,,,Angles 
-43 dBm,,-48 dBm,,-37 dBm,,"ap2(0,0)","(3,0)",,,ap2 0*
-43 dBm,,-45 dBm,,-41 dBm,,"ap3(0,7.5)",,,,ap3 68.4*
-43 dBm,,Not found,,-40 dBm,,"ap1(9.6,7.5)",,,,ap1 50.34*
-43 dBm,,-48 dBm,,-39 dBm,,,,,,
-43 dBm,,-44 dBm,,-39 dBm,,,,,,
-43 dBm,,-46 dBm,,-39 dBm,,,,,,
-43 dBm,,-46 dBm,,-40 dBm,,,,,,
-43 dBm,,-44 dBm,,-39 dBm,,,,,,
-43 dBm,,-44 dBm,,-42 dBm,,,,,,
-43 dBm,,-44 dBm,,-40 dBm,,,,,,
-43 dBm,,-45 dBm,,-40 dBm,,,,,,
-43 dBm,,-43 dBm,,-40 dBm,,,,,,
-43 dBm,,-44 dBm,,-41 dBm,,,,,,
-43 dBm,,-44 dBm,,-39 dBm,,,,,,
-43 dBm,,-45 dBm,,-39 dBm,,,,,,
-43 dBm,,-48 dBm,,-42 dBm,,,,,,
-43 dBm,,-44 dBm,,-40 dBm,,,,,,
-43 dBm,,-43 dBm,,-43 dBm,,,,,,
-43 dBm,,-44 dBm,,-40 dBm,,,,,,
-43 dBm,,-45 dBm,,-40 dBm,,,,,,
-43 dBm,,-45 dBm,,-40 dBm,,,,,,
-43 dBm,,-44 dBm,,-42 dBm,,,,,,
-43 dBm,,-43 dBm,,-42 dBm,,,,,,
-43 dBm,,-46 dBm,,-42 dBm,,,,,,
-43 dBm,,-44 dBm,,-38 dBm,,,,,,
-42 dBm,,-45 dBm,,-39 dBm,,,,,,
-43 dBm,,-43 dBm,,-41 dBm,,,,,,
-43 dBm,,-46 dBm,,-40 dBm,,,,,,
-42 dBm,,-46 dBm,,-40 dBm,,,,,,
-42 dBm,,-45 dBm,,-42 dBm,,,,,,
-42 dBm,,-45 dBm,,-39 dBm,,,,,,
-42 dBm,,-44 dBm,,-41 dBm,,,,,,
-42 dBm,,-44 dBm,,-41 dBm,,,,,,
-44 dBm,,-43 dBm,,-40 dBm,,,,,,
-45 dBm,,-44 dBm,,-41 dBm,,,,,,
-43 dBm,,-46 dBm,,-43 dBm,,,,,,
-44 dBm,,-46 dBm,,-41 dBm,,,,,,
-43 dBm,,-47 dBm,,-41 dBm,,,,,,
-44 dBm,,-44 dBm,,-42 dBm,,,,,,
-43 dBm,,-45 dBm,,-40 dBm,,,,,,
-44 dBm,,-44 dBm,,-38 dBm,,,,,,
-43 dBm,,-45 dBm,,-39 dBm,,,,,,
-42 dBm,,Not found,,Not found,,,,,,
-44 dBm,,-43 dBm,,-40 dBm,,,,,,
-42 dBm,,-45 dBm,,-39 dBm,,,,,,
-45 dBm,,-43 dBm,,-41 dBm,,,,,,
-43 dBm,,-43 dBm,,-42 dBm,,,,,,
-43 dBm,,-46 dBm,,-43 dBm,,,,,,
-42 dBm,,-44 dBm,,-37 dBm,,,,,,
-43 dBm,,-46 dBm,,-38 dBm,,,,,,
-42 dBm,,,,,,,,,,
-43 dBm,,,,,,,,,,
