AP1,angle_AP1,location_AP1_X,location_AP1_y,AP2,angle_AP2,location_AP2_X,location_AP2_y,AP3 ,angle_AP3,location_AP3_X,location_AP3_y,target_X ,target_y
-53,10.7,9.6,7.5,-54,64.8,0,0,-40,21.8,0,7.5,3,6.4
-49,10.7,9.6,7.5,-50,64.8,0,0,-39,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-51,64.8,0,0,-48,21.8,0,7.5,3,6.4
-49,10.7,9.6,7.5,-49,64.8,0,0,-48,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-48,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-49,64.8,0,0,-45,21.8,0,7.5,3,6.4
-48,10.7,9.6,7.5,-50,64.8,0,0,-45,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-47,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-49,64.8,0,0,-47,21.8,0,7.5,3,6.4
-48,10.7,9.6,7.5,-50,64.8,0,0,-47,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-47,21.8,0,7.5,3,6.4
-48,10.7,9.6,7.5,-50,64.8,0,0,-46,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-47,21.8,0,7.5,3,6.4
-48,10.7,9.6,7.5,-49,64.8,0,0,-46,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-47,21.8,0,7.5,3,6.4
-48,10.7,9.6,7.5,-50,64.8,0,0,-46,21.8,0,7.5,3,6.4
-46,10.7,9.6,7.5,-50,64.8,0,0,-45,21.8,0,7.5,3,6.4
-48,10.7,9.6,7.5,-50,64.8,0,0,-47,21.8,0,7.5,3,6.4
-48,10.7,9.6,7.5,-50,64.8,0,0,-46,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-47,21.8,0,7.5,3,6.4
-48,10.7,9.6,7.5,-50,64.8,0,0,-46,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-47,21.8,0,7.5,3,6.4
-48,10.7,9.6,7.5,-51,64.8,0,0,-47,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-46,21.8,0,7.5,3,6.4
-48,10.7,9.6,7.5,-50,64.8,0,0,-47,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-46,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-47,21.8,0,7.5,3,6.4
-49,10.7,9.6,7.5,-50,64.8,0,0,-46,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-47,21.8,0,7.5,3,6.4
-48,10.7,9.6,7.5,-49,64.8,0,0,-46,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-47,21.8,0,7.5,3,6.4
-48,10.7,9.6,7.5,-50,64.8,0,0,-47,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-47,21.8,0,7.5,3,6.4
-49,10.7,9.6,7.5,-50,64.8,0,0,-46,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-48,21.8,0,7.5,3,6.4
-48,10.7,9.6,7.5,-50,64.8,0,0,-46,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-47,21.8,0,7.5,3,6.4
-48,10.7,9.6,7.5,-51,64.8,0,0,-46,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-48,21.8,0,7.5,3,6.4
-48,10.7,9.6,7.5,-50,64.8,0,0,-46,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-47,21.8,0,7.5,3,6.4
-49,10.7,9.6,7.5,-50,64.8,0,0,-47,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-48,21.8,0,7.5,3,6.4
-48,10.7,9.6,7.5,-51,64.8,0,0,-47,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-46,21.8,0,7.5,3,6.4
-48,10.7,9.6,7.5,-51,64.8,0,0,-47,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-47,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-47,21.8,0,7.5,3,6.4
-48,10.7,9.6,7.5,-51,64.8,0,0,-48,21.8,0,7.5,3,6.4
-47,10.7,9.6,7.5,-50,64.8,0,0,-47,21.8,0,7.5,3,6.4
